Well,Gene
C08,04_ALDH9A1
D04,16_CAV2
B04,18_COL24A1
F02,25_FBXO32
E02,26_FER
F07,34_LMO7
G04,35_LMX1B
D07,45_RALGPS1
G03,51_TNS1
E03,55_ABO
B10,57_Human_0001
F11,58_Human_0003
F03,59_Human_0005
F08,60_Human_0007
D03,61_Human_0009
D06,64_GMDS
E05,66_MYOC
E04,67_TEK
E07,04_ALDH9A1
F05,16_CAV2
B03,18_COL24A1
G09,25_FBXO32
G08,26_FER
D11,34_LMO7
B09,35_LMX1B
D08,45_RALGPS1
G05,51_TNS1
D10,55_ABO
B05,57_Human_0001
E10,58_Human_0003
G07,59_Human_0005
C05,60_Human_0007
E11,61_Human_0009
C06,64_GMDS
C10,66_MYOC
G10,67_TEK
B06,04_ALDH9A1
B08,16_CAV2
E09,18_COL24A1
C03,25_FBXO32
C04,26_FER
C07,34_LMO7
C09,35_LMX1B
C11,45_RALGPS1
D05,51_TNS1
D02,55_ABO
D09,57_Human_0001
E06,58_Human_0003
E08,59_Human_0005
C02,60_Human_0007
F04,61_Human_0009
F06,64_GMDS
F09,66_MYOC
F10,67_TEK
