Well,Gene
G06,01_ABCA1
C08,13_BCAS3
G10,25_FBXO32
F06,31_GNB1L
F11,37_MECOM
C06,39_PARD3B
D03,41_PKHD1
G05,44_PTPRJ
F08,52_TRIOBP
B08,56_TEX41
F10,57_Human_0001
B04,58_Human_0003
G04,59_Human_0005
G08,60_Human_0007
D02,61_Human_0009
E03,64_GMDS
D08,65_LTBP2
D05,67_TEK
D11,01_ABCA1
G07,13_BCAS3
D09,25_FBXO32
E10,31_GNB1L
E07,37_MECOM
C09,39_PARD3B
C04,41_PKHD1
D06,44_PTPRJ
F02,52_TRIOBP
E06,56_TEX41
F03,57_Human_0001
F09,58_Human_0003
C03,59_Human_0005
E05,60_Human_0007
C10,61_Human_0009
D10,64_GMDS
C02,65_LTBP2
E04,67_TEK
B03,01_ABCA1
B05,13_BCAS3
B06,25_FBXO32
B07,31_GNB1L
B09,37_MECOM
C05,39_PARD3B
C07,41_PKHD1
C11,44_PTPRJ
D04,52_TRIOBP
D07,56_TEX41
E02,57_Human_0001
E08,58_Human_0003
E09,59_Human_0005
E11,60_Human_0007
F04,61_Human_0009
F05,64_GMDS
F07,65_LTBP2
G09,67_TEK
